Days since 1950-01-03 00:00:00,Price at Closing (USD)
248,18.75
251,18.610000610351562
252,18.8700008392334
253,19.09000015258789
254,19.18000030517578
255,19.290000915527344
258,19.3700008392334
259,19.309999465942383
260,19.209999084472656
261,19.3700008392334
262,19.440000534057617
265,19.420000076293945
266,19.139999389648438
267,19.40999984741211
268,19.420000076293945
269,19.450000762939453
272,19.690000534057617
273,19.65999984741211
274,20.0
275,19.889999389648438
276,20.1200008392334
279,20.0
280,19.780000686645508
281,19.860000610351562
283,19.850000381469727
286,19.709999084472656
287,19.889999389648438
288,20.010000228881836
289,20.020000457763672
290,19.959999084472656
293,19.959999084472656
294,20.079999923706055
295,20.049999237060547
296,19.610000610351562
297,19.770000457763672
300,19.610000610351562
301,19.530000686645508
302,19.559999465942383
303,19.729999542236328
304,19.850000381469727
307,19.360000610351562
309,19.559999465942383
310,19.790000915527344
311,19.940000534057617
314,20.010000228881836
315,19.860000610351562
316,19.81999969482422
317,19.719999313354492
318,19.860000610351562
321,19.93000030517578
322,19.8799991607666
323,20.15999984741211
325,20.31999969482422
328,20.18000030517578
329,19.559999465942383
330,19.3700008392334
331,19.510000228881836
332,19.65999984741211
335,19.0
336,19.309999465942383
337,19.450000762939453
338,19.399999618530273
339,19.399999618530273
342,19.719999313354492
343,19.68000030517578
344,19.670000076293945
345,19.43000030517578
346,19.329999923706055
349,19.850000381469727
350,19.959999084472656
351,19.969999313354492
352,19.979999542236328
353,20.06999969482422
357,19.920000076293945
358,20.299999237060547
359,20.3799991607666
360,20.43000030517578
364,20.770000457763672
365,20.690000534057617
366,20.8700008392334
367,20.8700008392334
370,21.0
371,21.1200008392334
372,20.850000381469727
373,21.190000534057617
374,21.110000610351562
377,21.299999237060547
378,21.459999084472656
379,21.549999237060547
380,21.399999618530273
381,21.360000610351562
384,21.18000030517578
385,21.260000228881836
386,21.15999984741211
387,21.030000686645508
388,21.260000228881836
391,21.670000076293945
392,21.739999771118164
393,21.65999984741211
394,21.770000457763672
395,21.959999084472656
398,22.200000762939453
399,22.1200008392334
400,21.989999771118164
401,22.09000015258789
402,22.170000076293945
406,22.18000030517578
407,22.1200008392334
408,22.0
409,22.1299991607666
412,21.829999923706055
413,21.790000915527344
414,21.860000610351562
416,21.920000076293945
419,21.93000030517578
420,21.760000228881836
421,21.799999237060547
422,21.850000381469727
423,21.93000030517578
426,21.790000915527344
427,21.790000915527344
428,21.860000610351562
429,21.950000762939453
430,21.950000762939453
433,21.700000762939453
434,21.40999984741211
435,21.25
436,21.290000915527344
437,21.639999389648438
440,21.559999465942383
441,21.520000457763672
442,21.639999389648438
443,21.729999542236328
447,21.530000686645508
448,21.510000228881836
449,21.260000228881836
450,21.329999923706055
451,21.479999542236328
454,21.31999969482422
455,21.260000228881836
456,21.399999618530273
457,21.690000534057617
458,21.719999313354492
461,21.68000030517578
462,21.649999618530273
463,21.639999389648438
464,21.829999923706055
465,22.09000015258789
468,22.040000915527344
469,22.09000015258789
470,22.1299991607666
471,22.040000915527344
472,22.040000915527344
475,22.049999237060547
476,21.959999084472656
477,21.969999313354492
478,22.15999984741211
479,22.389999389648438
482,22.43000030517578
483,22.530000686645508
484,22.6200008392334
485,22.809999465942383
486,22.770000457763672
489,22.6299991607666
490,22.610000610351562
491,22.639999389648438
492,22.510000228881836
493,22.329999923706055
496,22.18000030517578
497,21.760000228881836
498,21.690000534057617
